,date,Value
0,2016-04-12 00:53:10,70
1,2016-04-12 00:53:25,70
2,2016-04-12 01:12:35,70
3,2016-04-12 01:12:50,70
4,2016-04-12 02:12:30,70
5,2016-04-12 02:12:45,70
6,2016-04-12 02:13:00,70
7,2016-04-12 02:13:15,70
8,2016-04-12 02:16:30,102
9,2016-04-12 02:16:35,106
10,2016-04-12 02:16:50,108
11,2016-04-12 02:17:00,116
12,2016-04-12 02:17:05,120
13,2016-04-12 02:17:10,124
14,2016-04-12 02:17:15,126
15,2016-04-12 02:17:20,128
16,2016-04-12 02:17:25,126
17,2016-04-12 02:17:40,121
18,2016-04-12 02:17:45,113
19,2016-04-12 02:17:50,102
20,2016-04-12 02:17:55,76
21,2016-04-12 02:18:00,73
22,2016-04-12 02:18:10,71
23,2016-04-12 02:18:20,73
24,2016-04-12 02:18:25,75
25,2016-04-12 02:18:30,76
26,2016-04-12 02:18:35,79
27,2016-04-12 02:18:40,79
28,2016-04-12 02:18:50,78
29,2016-04-12 02:18:55,77
30,2016-04-12 02:19:00,74
31,2016-04-12 02:19:10,71
32,2016-04-12 02:19:20,70
33,2016-04-12 02:19:35,70
34,2016-04-12 02:19:50,68
35,2016-04-12 02:20:00,67
36,2016-04-12 02:20:10,68
37,2016-04-12 02:20:20,73
38,2016-04-12 02:20:30,73
39,2016-04-12 02:20:40,69
40,2016-04-12 02:20:50,70
41,2016-04-12 02:21:05,70
42,2016-04-12 02:21:10,70
43,2016-04-12 02:21:20,70
44,2016-04-12 02:21:35,70
45,2016-04-12 02:21:50,69
46,2016-04-12 02:22:00,67
47,2016-04-12 02:22:10,66
48,2016-04-12 02:22:20,65
49,2016-04-12 02:22:35,65
50,2016-04-12 02:22:40,64
51,2016-04-12 02:22:50,63
52,2016-04-12 02:23:05,63
53,2016-04-12 02:23:10,62
54,2016-04-12 02:23:20,62
55,2016-04-12 02:23:25,62
56,2016-04-12 02:23:40,61
57,2016-04-12 02:23:55,61
58,2016-04-12 02:24:05,62
59,2016-04-12 02:24:15,63
60,2016-04-12 02:24:20,64
61,2016-04-12 02:24:30,64
62,2016-04-12 02:24:45,66
63,2016-04-12 02:24:50,67
64,2016-04-12 02:25:05,67
65,2016-04-12 02:25:10,64
66,2016-04-12 02:25:20,63
67,2016-04-12 02:25:35,63
68,2016-04-12 02:25:40,62
69,2016-04-12 02:25:50,63
70,2016-04-12 02:25:55,63
71,2016-04-12 02:26:10,63
72,2016-04-12 02:26:20,64
73,2016-04-12 02:26:30,65
74,2016-04-12 02:26:45,65
75,2016-04-12 02:26:50,64
76,2016-04-12 02:27:00,64
77,2016-04-12 02:27:15,64
78,2016-04-12 02:27:20,65
79,2016-04-12 02:27:30,64
80,2016-04-12 02:27:45,64
81,2016-04-12 02:27:50,64
82,2016-04-12 02:28:00,63
83,2016-04-12 02:28:10,63
84,2016-04-12 02:28:20,66
85,2016-04-12 02:28:30,64
86,2016-04-12 02:28:40,62
87,2016-04-12 02:28:50,61
88,2016-04-12 02:29:05,61
89,2016-04-12 02:29:10,63
90,2016-04-12 02:29:20,64
91,2016-04-12 02:29:30,64
92,2016-04-12 02:29:40,63
93,2016-04-12 02:29:50,62
94,2016-04-12 02:30:00,63
95,2016-04-12 02:30:15,63
96,2016-04-12 02:30:20,63
97,2016-04-12 02:30:30,62
98,2016-04-12 02:30:40,61
99,2016-04-12 02:30:50,62
100,2016-04-12 02:31:00,62
101,2016-04-12 02:31:10,61
102,2016-04-12 02:31:20,60
103,2016-04-12 02:31:35,60
104,2016-04-12 02:31:50,60
105,2016-04-12 02:32:00,61
106,2016-04-12 02:32:10,60
107,2016-04-12 02:32:20,61
108,2016-04-12 02:32:30,60
109,2016-04-12 02:32:45,60
110,2016-04-12 02:33:00,60
111,2016-04-12 02:33:15,60
112,2016-04-12 02:33:30,60
113,2016-04-12 02:33:40,61
114,2016-04-12 02:33:55,61
115,2016-04-12 02:34:00,60
116,2016-04-12 02:34:15,60
117,2016-04-12 02:34:30,60
118,2016-04-12 02:34:45,60
119,2016-04-12 02:34:50,61
120,2016-04-12 02:35:00,60
121,2016-04-12 02:35:10,61
122,2016-04-12 02:35:25,61
123,2016-04-12 02:35:40,61
124,2016-04-12 02:35:50,62
125,2016-04-12 02:36:00,61
126,2016-04-12 02:36:15,61
127,2016-04-12 02:36:30,61
128,2016-04-12 02:36:45,61
129,2016-04-12 02:37:00,60
130,2016-04-12 02:37:15,60
131,2016-04-12 02:37:20,61
132,2016-04-12 02:37:30,60
133,2016-04-12 02:37:45,60
134,2016-04-12 02:38:00,60
135,2016-04-12 02:38:10,60
136,2016-04-12 02:38:25,60
137,2016-04-12 02:38:40,61
138,2016-04-12 02:38:50,62
139,2016-04-12 02:39:05,62
140,2016-04-12 02:39:10,61
141,2016-04-12 02:39:20,62
142,2016-04-12 02:39:30,61
143,2016-04-12 02:39:40,60
144,2016-04-12 02:39:55,60
145,2016-04-12 02:40:10,61
146,2016-04-12 02:40:25,61
147,2016-04-12 02:40:30,60
148,2016-04-12 02:40:40,59
149,2016-04-12 02:40:50,60
150,2016-04-12 02:41:05,60
151,2016-04-12 02:41:10,61
152,2016-04-12 02:41:20,60
153,2016-04-12 02:41:35,60
154,2016-04-12 02:41:50,60
155,2016-04-12 02:42:05,60
156,2016-04-12 02:42:10,61
157,2016-04-12 02:42:20,60
158,2016-04-12 02:42:30,61
159,2016-04-12 02:42:40,60
160,2016-04-12 02:42:55,60
161,2016-04-12 02:43:10,60
162,2016-04-12 02:43:20,60
163,2016-04-12 02:43:35,60
164,2016-04-12 02:43:50,61
165,2016-04-12 02:44:05,61
166,2016-04-12 02:44:10,59
167,2016-04-12 02:44:25,59
168,2016-04-12 02:44:30,60
169,2016-04-12 02:44:45,60
170,2016-04-12 02:44:50,59
171,2016-04-12 02:45:05,59
172,2016-04-12 02:45:20,59
173,2016-04-12 02:45:30,60
174,2016-04-12 02:45:45,60
175,2016-04-12 02:46:00,60
176,2016-04-12 02:46:15,60
177,2016-04-12 02:46:20,59
178,2016-04-12 02:46:30,60
179,2016-04-12 02:46:45,60
180,2016-04-12 02:47:00,59
181,2016-04-12 02:47:10,60
182,2016-04-12 02:47:25,60
183,2016-04-12 02:47:40,60
184,2016-04-12 02:47:55,60
185,2016-04-12 02:48:10,60
186,2016-04-12 02:48:25,60
187,2016-04-12 02:48:30,61
188,2016-04-12 02:48:40,60
189,2016-04-12 02:48:50,60
