,date,Calories,TotalIntensity,AverageIntensity,StepTotal
0,2016-04-12 00:00:00,91,0,0.0,0
1,2016-04-12 01:00:00,100,3,0.05,51
2,2016-04-12 02:00:00,90,0,0.0,0
3,2016-04-12 03:00:00,91,0,0.0,0
4,2016-04-12 04:00:00,124,9,0.15,289
5,2016-04-12 05:00:00,669,165,2.75,0
6,2016-04-12 06:00:00,129,10,0.166667,322
7,2016-04-12 07:00:00,174,28,0.466667,735
8,2016-04-12 08:00:00,236,48,0.8,1513
9,2016-04-12 09:00:00,113,7,0.116667,61
10,2016-04-12 10:00:00,126,7,0.116667,304
11,2016-04-12 11:00:00,150,14,0.233333,521
12,2016-04-12 12:00:00,115,4,0.066667,199
13,2016-04-12 13:00:00,191,17,0.283333,987
14,2016-04-12 14:00:00,157,12,0.2,618
15,2016-04-12 15:00:00,126,6,0.1,298
16,2016-04-12 16:00:00,171,13,0.216667,745
17,2016-04-12 17:00:00,126,9,0.15,192
18,2016-04-12 18:00:00,113,6,0.1,90
19,2016-04-12 19:00:00,163,18,0.3,659
20,2016-04-12 20:00:00,100,2,0.033333,23
21,2016-04-12 21:00:00,95,1,0.016667,8
22,2016-04-12 22:00:00,90,0,0.0,0
23,2016-04-12 23:00:00,96,2,0.033333,11
24,2016-04-13 00:00:00,91,0,0.0,0
25,2016-04-13 01:00:00,91,0,0.0,0
26,2016-04-13 02:00:00,102,4,0.066667,89
27,2016-04-13 03:00:00,91,0,0.0,0
28,2016-04-13 04:00:00,126,10,0.166667,306
29,2016-04-13 05:00:00,669,165,2.75,0
30,2016-04-13 06:00:00,117,6,0.1,175
31,2016-04-13 07:00:00,149,14,0.233333,387
32,2016-04-13 08:00:00,407,110,1.833333,3712
33,2016-04-13 09:00:00,138,8,0.133333,416
34,2016-04-13 10:00:00,156,13,0.216667,592
35,2016-04-13 11:00:00,203,33,0.55,1178
36,2016-04-13 12:00:00,330,84,1.4,2736
37,2016-04-13 13:00:00,161,15,0.25,584
38,2016-04-13 14:00:00,126,11,0.183333,114
39,2016-04-13 15:00:00,162,15,0.25,591
40,2016-04-13 16:00:00,172,14,0.233333,712
41,2016-04-13 17:00:00,119,6,0.1,115
42,2016-04-13 18:00:00,139,14,0.233333,281
43,2016-04-13 19:00:00,129,12,0.2,151
44,2016-04-13 20:00:00,123,9,0.15,233
45,2016-04-13 21:00:00,91,0,0.0,0
46,2016-04-13 22:00:00,96,2,0.033333,14
47,2016-04-13 23:00:00,92,0,0.0,0
48,2016-04-14 00:00:00,100,3,0.05,57
49,2016-04-14 01:00:00,94,1,0.016667,11
50,2016-04-14 02:00:00,91,0,0.0,0
51,2016-04-14 03:00:00,94,1,0.016667,5
52,2016-04-14 04:00:00,126,11,0.183333,254
53,2016-04-14 05:00:00,616,150,2.5,0
54,2016-04-14 06:00:00,164,20,0.333333,164
55,2016-04-14 07:00:00,157,17,0.283333,500
56,2016-04-14 08:00:00,298,68,1.133333,2367
57,2016-04-14 09:00:00,261,55,0.916667,1820
58,2016-04-14 10:00:00,164,23,0.383333,422
59,2016-04-14 11:00:00,141,13,0.216667,347
60,2016-04-14 12:00:00,493,144,2.4,4741
61,2016-04-14 13:00:00,148,12,0.2,470
62,2016-04-14 14:00:00,157,13,0.216667,589
63,2016-04-14 15:00:00,183,15,0.25,875
64,2016-04-14 16:00:00,115,4,0.066667,96
65,2016-04-14 17:00:00,121,8,0.133333,121
66,2016-04-14 18:00:00,113,5,0.083333,129
67,2016-04-14 19:00:00,123,10,0.166667,125
68,2016-04-14 20:00:00,123,9,0.15,186
69,2016-04-14 21:00:00,99,3,0.05,39
70,2016-04-14 22:00:00,92,0,0.0,0
71,2016-04-14 23:00:00,91,0,0.0,0
72,2016-04-15 00:00:00,94,1,0.016667,13
73,2016-04-15 01:00:00,91,0,0.0,0
74,2016-04-15 02:00:00,91,0,0.0,0
75,2016-04-15 03:00:00,93,1,0.016667,7
76,2016-04-15 04:00:00,99,3,0.05,54
77,2016-04-15 05:00:00,91,0,0.0,0
78,2016-04-15 06:00:00,130,10,0.166667,319
79,2016-04-15 07:00:00,153,21,0.35,482
80,2016-04-15 08:00:00,395,103,1.716667,3512
81,2016-04-15 09:00:00,256,53,0.883333,1847
82,2016-04-15 10:00:00,175,21,0.35,702
83,2016-04-15 11:00:00,322,65,1.083333,2618
84,2016-04-15 12:00:00,161,14,0.233333,655
85,2016-04-15 13:00:00,130,8,0.133333,309
86,2016-04-15 14:00:00,157,13,0.216667,669
87,2016-04-15 15:00:00,192,19,0.316667,923
88,2016-04-15 16:00:00,120,6,0.1,170
89,2016-04-15 17:00:00,139,14,0.233333,281
90,2016-04-15 18:00:00,194,36,0.6,919
91,2016-04-15 19:00:00,101,3,0.05,72
92,2016-04-15 20:00:00,96,1,0.016667,7
93,2016-04-15 21:00:00,101,3,0.05,45
94,2016-04-15 22:00:00,183,21,0.35,857
95,2016-04-15 23:00:00,91,0,0.0,0
96,2016-04-16 00:00:00,92,0,0.0,0
97,2016-04-16 01:00:00,92,1,0.016667,7
98,2016-04-16 02:00:00,93,1,0.016667,8
99,2016-04-16 03:00:00,101,3,0.05,75
100,2016-04-16 04:00:00,95,1,0.016667,14
101,2016-04-16 05:00:00,92,0,0.0,0
102,2016-04-16 06:00:00,91,0,0.0,0
103,2016-04-16 07:00:00,103,4,0.066667,74
104,2016-04-16 08:00:00,133,10,0.166667,269
105,2016-04-16 09:00:00,117,6,0.1,104
106,2016-04-16 10:00:00,137,14,0.233333,280
107,2016-04-16 11:00:00,122,8,0.133333,106
108,2016-04-16 12:00:00,123,7,0.116667,254
109,2016-04-16 13:00:00,158,21,0.35,620
110,2016-04-16 14:00:00,393,100,1.666667,3376
111,2016-04-16 15:00:00,519,149,2.483333,5112
112,2016-04-16 16:00:00,117,8,0.133333,122
113,2016-04-16 17:00:00,102,3,0.05,46
114,2016-04-16 18:00:00,129,11,0.183333,243
115,2016-04-16 19:00:00,131,12,0.2,173
116,2016-04-16 20:00:00,130,11,0.183333,242
117,2016-04-16 21:00:00,96,1,0.016667,6
118,2016-04-16 22:00:00,95,2,0.033333,11
119,2016-04-16 23:00:00,101,3,0.05,54
120,2016-04-17 00:00:00,91,0,0.0,0
121,2016-04-17 01:00:00,91,0,0.0,0
122,2016-04-17 02:00:00,91,0,0.0,0
123,2016-04-17 03:00:00,91,0,0.0,0
124,2016-04-17 04:00:00,92,0,0.0,0
125,2016-04-17 05:00:00,91,0,0.0,0
126,2016-04-17 06:00:00,105,5,0.083333,85
127,2016-04-17 07:00:00,119,8,0.133333,104
128,2016-04-17 08:00:00,134,11,0.183333,246
129,2016-04-17 09:00:00,110,3,0.05,34
130,2016-04-17 10:00:00,121,5,0.083333,146
131,2016-04-17 11:00:00,120,8,0.133333,191
132,2016-04-17 12:00:00,114,5,0.083333,172
133,2016-04-17 13:00:00,112,6,0.1,66
134,2016-04-17 14:00:00,93,0,0.0,0
135,2016-04-17 15:00:00,104,3,0.05,26
136,2016-04-17 16:00:00,109,3,0.05,106
137,2016-04-17 17:00:00,114,5,0.083333,94
138,2016-04-17 18:00:00,158,16,0.266667,547
139,2016-04-17 19:00:00,103,3,0.05,53
140,2016-04-17 20:00:00,120,7,0.116667,181
141,2016-04-17 21:00:00,98,2,0.033333,20
142,2016-04-17 22:00:00,90,0,0.0,0
143,2016-04-17 23:00:00,100,3,0.05,61
144,2016-04-18 00:00:00,92,0,0.0,0
145,2016-04-18 01:00:00,92,0,0.0,0
146,2016-04-18 02:00:00,93,1,0.016667,6
147,2016-04-18 03:00:00,91,0,0.0,0
148,2016-04-18 04:00:00,124,10,0.166667,270
149,2016-04-18 05:00:00,669,165,2.75,0
150,2016-04-18 06:00:00,117,6,0.1,187
151,2016-04-18 07:00:00,141,14,0.233333,317
152,2016-04-18 08:00:00,391,103,1.716667,3525
153,2016-04-18 09:00:00,150,11,0.183333,549
154,2016-04-18 10:00:00,135,7,0.116667,330
155,2016-04-18 11:00:00,135,10,0.166667,280
156,2016-04-18 12:00:00,419,110,1.833333,3869
157,2016-04-18 13:00:00,127,6,0.1,336
158,2016-04-18 14:00:00,156,11,0.183333,628
159,2016-04-18 15:00:00,198,19,0.316667,1094
160,2016-04-18 16:00:00,129,8,0.133333,199
161,2016-04-18 17:00:00,129,10,0.166667,189
162,2016-04-18 18:00:00,179,21,0.35,809
163,2016-04-18 19:00:00,151,12,0.2,534
164,2016-04-18 20:00:00,149,16,0.266667,428
165,2016-04-18 21:00:00,97,1,0.016667,4
166,2016-04-18 22:00:00,101,3,0.05,65
167,2016-04-18 23:00:00,94,1,0.016667,11
168,2016-04-19 00:00:00,91,0,0.0,0
169,2016-04-19 01:00:00,91,0,0.0,0
170,2016-04-19 02:00:00,100,3,0.05,68
171,2016-04-19 03:00:00,91,0,0.0,0
172,2016-04-19 04:00:00,118,8,0.133333,231
173,2016-04-19 05:00:00,669,165,2.75,0
174,2016-04-19 06:00:00,119,6,0.1,197
175,2016-04-19 07:00:00,147,14,0.233333,442
176,2016-04-19 08:00:00,405,108,1.8,3665
177,2016-04-19 09:00:00,127,6,0.1,319
178,2016-04-19 10:00:00,134,9,0.15,324
179,2016-04-19 11:00:00,136,12,0.2,250
180,2016-04-19 12:00:00,418,116,1.933333,3870
181,2016-04-19 13:00:00,136,9,0.15,430
182,2016-04-19 14:00:00,128,8,0.133333,327
183,2016-04-19 15:00:00,110,4,0.066667,38
184,2016-04-19 16:00:00,195,18,0.3,1025
185,2016-04-19 17:00:00,132,11,0.183333,256
186,2016-04-19 18:00:00,132,11,0.183333,292
187,2016-04-19 19:00:00,132,8,0.133333,288
188,2016-04-19 20:00:00,178,27,0.45,845
189,2016-04-19 21:00:00,117,8,0.133333,199
190,2016-04-19 22:00:00,94,1,0.016667,4
191,2016-04-19 23:00:00,91,0,0.0,0
192,2016-04-20 00:00:00,95,1,0.016667,14
193,2016-04-20 01:00:00,93,1,0.016667,7
194,2016-04-20 02:00:00,92,0,0.0,0
195,2016-04-20 03:00:00,92,0,0.0,0
196,2016-04-20 04:00:00,117,7,0.116667,227
