,date,Calories,TotalIntensity,AverageIntensity,StepTotal
0,2016-04-12 00:00:00,53,0,0.0,0
1,2016-04-12 01:00:00,53,0,0.0,0
2,2016-04-12 02:00:00,53,0,0.0,0
3,2016-04-12 03:00:00,53,0,0.0,0
4,2016-04-12 04:00:00,53,0,0.0,0
5,2016-04-12 05:00:00,94,28,0.466667,306
6,2016-04-12 06:00:00,63,8,0.133333,17
7,2016-04-12 07:00:00,120,39,0.65,1373
8,2016-04-12 08:00:00,137,43,0.716667,1150
9,2016-04-12 09:00:00,141,49,0.816667,1025
10,2016-04-12 10:00:00,118,35,0.583333,802
11,2016-04-12 11:00:00,71,7,0.116667,328
12,2016-04-12 12:00:00,151,58,0.966667,1280
13,2016-04-12 13:00:00,111,29,0.483333,637
14,2016-04-12 14:00:00,69,9,0.15,169
15,2016-04-12 15:00:00,64,7,0.116667,95
16,2016-04-12 16:00:00,76,12,0.2,251
17,2016-04-12 17:00:00,70,12,0.2,93
18,2016-04-12 18:00:00,123,40,0.666667,737
19,2016-04-12 19:00:00,75,12,0.2,255
20,2016-04-12 20:00:00,74,13,0.216667,259
21,2016-04-12 21:00:00,57,3,0.05,19
22,2016-04-12 22:00:00,53,0,0.0,0
23,2016-04-12 23:00:00,53,0,0.0,0
24,2016-04-13 00:00:00,53,0,0.0,0
25,2016-04-13 01:00:00,53,0,0.0,0
26,2016-04-13 02:00:00,53,0,0.0,0
27,2016-04-13 03:00:00,53,0,0.0,0
28,2016-04-13 04:00:00,53,0,0.0,0
29,2016-04-13 05:00:00,87,24,0.4,321
30,2016-04-13 06:00:00,79,15,0.25,203
31,2016-04-13 07:00:00,98,20,0.333333,840
32,2016-04-13 08:00:00,122,39,0.65,873
33,2016-04-13 09:00:00,133,47,0.783333,632
34,2016-04-13 10:00:00,118,38,0.633333,364
35,2016-04-13 11:00:00,93,15,0.25,550
36,2016-04-13 12:00:00,134,46,0.766667,803
37,2016-04-13 13:00:00,121,32,0.533333,851
38,2016-04-13 14:00:00,70,9,0.15,228
39,2016-04-13 15:00:00,87,17,0.283333,354
40,2016-04-13 16:00:00,82,20,0.333333,265
41,2016-04-13 17:00:00,101,32,0.533333,469
42,2016-04-13 18:00:00,80,17,0.283333,312
43,2016-04-13 19:00:00,73,14,0.233333,146
44,2016-04-13 20:00:00,68,10,0.166667,105
45,2016-04-13 21:00:00,57,3,0.05,5
46,2016-04-13 22:00:00,81,19,0.316667,230
47,2016-04-13 23:00:00,58,3,0.05,67
48,2016-04-14 00:00:00,53,0,0.0,0
49,2016-04-14 01:00:00,53,0,0.0,0
50,2016-04-14 02:00:00,53,0,0.0,0
51,2016-04-14 03:00:00,53,0,0.0,0
52,2016-04-14 04:00:00,53,0,0.0,0
53,2016-04-14 05:00:00,53,0,0.0,0
54,2016-04-14 06:00:00,77,16,0.266667,224
55,2016-04-14 07:00:00,123,33,0.55,1123
56,2016-04-14 08:00:00,119,43,0.716667,544
57,2016-04-14 09:00:00,121,28,0.466667,871
58,2016-04-14 10:00:00,114,25,0.416667,1403
59,2016-04-14 11:00:00,77,10,0.166667,318
60,2016-04-14 12:00:00,84,16,0.266667,291
61,2016-04-14 13:00:00,104,29,0.483333,568
62,2016-04-14 14:00:00,92,19,0.316667,531
63,2016-04-14 15:00:00,97,17,0.283333,742
64,2016-04-14 16:00:00,54,1,0.016667,26
65,2016-04-14 17:00:00,87,20,0.333333,366
66,2016-04-14 18:00:00,98,29,0.483333,450
67,2016-04-14 19:00:00,74,14,0.233333,198
68,2016-04-14 20:00:00,77,19,0.316667,123
69,2016-04-14 21:00:00,73,12,0.2,132
70,2016-04-14 22:00:00,53,0,0.0,0
71,2016-04-14 23:00:00,53,0,0.0,0
72,2016-04-15 00:00:00,53,0,0.0,0
73,2016-04-15 01:00:00,53,0,0.0,0
74,2016-04-15 02:00:00,53,0,0.0,0
75,2016-04-15 03:00:00,53,0,0.0,0
76,2016-04-15 04:00:00,53,0,0.0,0
77,2016-04-15 05:00:00,92,27,0.45,302
78,2016-04-15 06:00:00,95,29,0.483333,247
79,2016-04-15 07:00:00,110,26,0.433333,1031
80,2016-04-15 08:00:00,104,24,0.4,649
81,2016-04-15 09:00:00,117,34,0.566667,727
82,2016-04-15 10:00:00,109,33,0.55,562
83,2016-04-15 11:00:00,99,20,0.333333,636
84,2016-04-15 12:00:00,130,43,0.716667,899
85,2016-04-15 13:00:00,106,25,0.416667,665
86,2016-04-15 14:00:00,125,40,0.666667,754
87,2016-04-15 15:00:00,97,27,0.45,312
88,2016-04-15 16:00:00,112,31,0.516667,666
89,2016-04-15 17:00:00,76,16,0.266667,128
90,2016-04-15 18:00:00,91,27,0.45,241
91,2016-04-15 19:00:00,71,11,0.183333,179
92,2016-04-15 20:00:00,95,27,0.45,378
93,2016-04-15 21:00:00,66,8,0.133333,106
94,2016-04-15 22:00:00,53,0,0.0,0
95,2016-04-15 23:00:00,53,0,0.0,0
96,2016-04-16 00:00:00,53,0,0.0,0
97,2016-04-16 01:00:00,53,0,0.0,0
98,2016-04-16 02:00:00,53,0,0.0,0
99,2016-04-16 03:00:00,53,0,0.0,0
100,2016-04-16 04:00:00,53,0,0.0,0
101,2016-04-16 05:00:00,53,0,0.0,0
102,2016-04-16 06:00:00,53,0,0.0,0
103,2016-04-16 07:00:00,287,99,1.65,2650
104,2016-04-16 08:00:00,202,63,1.05,1999
105,2016-04-16 09:00:00,73,12,0.2,252
106,2016-04-16 10:00:00,79,17,0.283333,194
107,2016-04-16 11:00:00,93,28,0.466667,326
108,2016-04-16 12:00:00,115,33,0.55,712
109,2016-04-16 13:00:00,54,1,0.016667,0
110,2016-04-16 14:00:00,103,25,0.416667,590
111,2016-04-16 15:00:00,135,32,0.533333,1196
112,2016-04-16 16:00:00,83,19,0.316667,292
113,2016-04-16 17:00:00,101,28,0.466667,578
114,2016-04-16 18:00:00,75,13,0.216667,204
115,2016-04-16 19:00:00,90,24,0.4,324
116,2016-04-16 20:00:00,95,30,0.5,141
117,2016-04-16 21:00:00,70,11,0.183333,109
118,2016-04-16 22:00:00,64,7,0.116667,103
119,2016-04-16 23:00:00,60,6,0.1,7
120,2016-04-17 00:00:00,82,18,0.3,276
121,2016-04-17 01:00:00,53,0,0.0,0
122,2016-04-17 02:00:00,53,0,0.0,0
123,2016-04-17 03:00:00,53,0,0.0,0
124,2016-04-17 04:00:00,53,0,0.0,0
125,2016-04-17 05:00:00,53,0,0.0,0
126,2016-04-17 06:00:00,53,0,0.0,0
127,2016-04-17 07:00:00,53,0,0.0,0
128,2016-04-17 08:00:00,53,0,0.0,0
129,2016-04-17 09:00:00,53,0,0.0,0
130,2016-04-17 10:00:00,62,6,0.1,94
131,2016-04-17 11:00:00,54,1,0.016667,8
132,2016-04-17 12:00:00,56,2,0.033333,29
133,2016-04-17 13:00:00,120,42,0.7,1079
134,2016-04-17 14:00:00,94,28,0.466667,273
135,2016-04-17 15:00:00,65,8,0.133333,83
