,date,Calories,TotalIntensity,AverageIntensity,StepTotal
0,2016-04-12 00:00:00,70,0,0.0,0
1,2016-04-12 01:00:00,70,0,0.0,0
2,2016-04-12 02:00:00,81,3,0.05,7
3,2016-04-12 03:00:00,70,0,0.0,0
4,2016-04-12 04:00:00,70,0,0.0,0
5,2016-04-12 05:00:00,70,0,0.0,0
6,2016-04-12 06:00:00,70,0,0.0,0
7,2016-04-12 07:00:00,70,0,0.0,0
8,2016-04-12 08:00:00,77,3,0.05,13
9,2016-04-12 09:00:00,71,0,0.0,0
10,2016-04-12 10:00:00,84,6,0.1,69
11,2016-04-12 11:00:00,78,3,0.05,81
12,2016-04-12 12:00:00,130,16,0.266667,291
13,2016-04-12 13:00:00,76,1,0.016667,7
14,2016-04-12 14:00:00,73,1,0.016667,7
15,2016-04-12 15:00:00,90,5,0.083333,83
16,2016-04-12 16:00:00,90,7,0.116667,135
17,2016-04-12 17:00:00,74,2,0.033333,23
18,2016-04-12 18:00:00,144,22,0.366667,781
19,2016-04-12 19:00:00,150,29,0.483333,700
20,2016-04-12 20:00:00,83,4,0.066667,119
21,2016-04-12 21:00:00,74,1,0.016667,16
22,2016-04-12 22:00:00,78,3,0.05,32
23,2016-04-12 23:00:00,97,10,0.166667,192
24,2016-04-13 00:00:00,101,12,0.2,162
25,2016-04-13 01:00:00,77,3,0.05,19
26,2016-04-13 02:00:00,72,1,0.016667,9
27,2016-04-13 03:00:00,70,0,0.0,0
28,2016-04-13 04:00:00,71,0,0.0,0
29,2016-04-13 05:00:00,71,0,0.0,0
30,2016-04-13 06:00:00,73,1,0.016667,8
31,2016-04-13 07:00:00,78,3,0.05,62
32,2016-04-13 08:00:00,71,0,0.0,0
33,2016-04-13 09:00:00,70,0,0.0,0
34,2016-04-13 10:00:00,81,4,0.066667,91
35,2016-04-13 11:00:00,91,8,0.133333,113
36,2016-04-13 12:00:00,77,2,0.033333,10
37,2016-04-13 13:00:00,97,7,0.116667,187
38,2016-04-13 14:00:00,71,0,0.0,0
39,2016-04-13 15:00:00,80,4,0.066667,49
40,2016-04-13 16:00:00,73,1,0.016667,15
41,2016-04-13 17:00:00,82,4,0.066667,96
42,2016-04-13 18:00:00,88,7,0.116667,83
43,2016-04-13 19:00:00,114,11,0.183333,206
44,2016-04-13 20:00:00,91,7,0.116667,64
45,2016-04-13 21:00:00,77,2,0.033333,74
46,2016-04-13 22:00:00,85,5,0.083333,72
47,2016-04-13 23:00:00,75,0,0.0,0
48,2016-04-14 00:00:00,131,15,0.25,279
49,2016-04-14 01:00:00,84,4,0.066667,45
50,2016-04-14 02:00:00,75,2,0.033333,13
51,2016-04-14 03:00:00,70,0,0.0,0
52,2016-04-14 04:00:00,71,0,0.0,0
53,2016-04-14 05:00:00,70,0,0.0,0
54,2016-04-14 06:00:00,72,1,0.016667,7
55,2016-04-14 07:00:00,71,0,0.0,0
56,2016-04-14 08:00:00,72,1,0.016667,7
57,2016-04-14 09:00:00,71,0,0.0,0
58,2016-04-14 10:00:00,71,0,0.0,0
59,2016-04-14 11:00:00,105,13,0.216667,227
60,2016-04-14 12:00:00,98,10,0.166667,148
61,2016-04-14 13:00:00,81,2,0.033333,15
62,2016-04-14 14:00:00,72,0,0.0,0
63,2016-04-14 15:00:00,80,3,0.05,50
64,2016-04-14 16:00:00,77,3,0.05,25
65,2016-04-14 17:00:00,95,7,0.116667,110
66,2016-04-14 18:00:00,110,13,0.216667,165
67,2016-04-14 19:00:00,70,0,0.0,0
68,2016-04-14 20:00:00,70,0,0.0,0
69,2016-04-14 21:00:00,82,3,0.05,43
70,2016-04-14 22:00:00,74,1,0.016667,5
71,2016-04-14 23:00:00,88,6,0.1,80
