,date,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance_x,ModeratelyActiveDistance_x,LightActiveDistance_x,SedentaryActiveDistance_x,VeryActiveMinutes_x,FairlyActiveMinutes_x,LightlyActiveMinutes_x,SedentaryMinutes_x,Calories_x,Calories_y,SedentaryMinutes_y,LightlyActiveMinutes_y,FairlyActiveMinutes_y,VeryActiveMinutes_y,SedentaryActiveDistance_y,LightActiveDistance_y,ModeratelyActiveDistance_y,VeryActiveDistance_y,StepTotal,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
0,2016-04-12 00:00:00,7213,5.88000011444092,5.88000011444092,0.0,0.0,0.0,5.84999990463257,0.0,0,0,263,718,2947,2947,718,263,0,0,0.0,5.84999990463257,0.0,0.0,7213,1.0,425.0,439.0
1,2016-04-13 00:00:00,6877,5.57999992370605,5.57999992370605,0.0,0.0,0.0,5.57999992370605,0.0,0,0,258,777,2898,2898,777,258,0,0,0.0,5.57999992370605,0.0,0.0,6877,2.0,400.0,430.0
2,2016-04-14 00:00:00,7860,6.36999988555908,6.36999988555908,0.0,0.0,0.0,6.36999988555908,0.0,0,0,271,772,2984,2984,772,271,0,0,0.0,6.36999988555908,0.0,0.0,7860,1.0,384.0,415.0
3,2016-04-15 00:00:00,6506,5.28000020980835,5.28000020980835,0.0,0.0700000002980232,0.419999986886978,4.78999996185303,0.0,1,8,256,944,2896,2896,944,256,8,1,0.0,4.78999996185303,0.419999986886978,0.0700000002980232,6506,1.0,253.0,257.0
4,2016-04-16 00:00:00,11140,9.02999973297119,9.02999973297119,0.0,0.239999994635582,1.25,7.53999996185303,0.0,3,24,335,556,3328,3328,556,335,24,3,0.0,7.53999996185303,1.25,0.239999994635582,11140,2.0,382.0,406.0
5,2016-04-17 00:00:00,12692,10.289999961853,10.289999961853,0.0,0.959999978542328,3.46000003814697,5.88000011444092,0.0,12,66,302,437,3394,3394,437,302,66,12,0.0,5.88000011444092,3.46000003814697,0.959999978542328,12692,1.0,591.0,612.0
6,2016-04-18 00:00:00,9105,7.38000011444092,7.38000011444092,0.0,1.82000005245209,1.49000000953674,4.07000017166138,0.0,22,30,191,890,3013,3013,890,191,30,22,0.0,4.07000017166138,1.49000000953674,1.82000005245209,9105,1.0,293.0,312.0
7,2016-04-19 00:00:00,6708,5.44000005722046,5.44000005722046,0.0,0.879999995231628,0.370000004768372,4.19000005722046,0.0,10,8,179,757,2812,2812,757,179,8,10,0.0,4.19000005722046,0.370000004768372,0.879999995231628,6708,1.0,457.0,487.0
8,2016-04-20 00:00:00,8793,7.13000011444092,7.13000011444092,0.0,0.159999996423721,1.23000001907349,5.73000001907349,0.0,2,29,260,717,3061,3061,717,260,29,2,0.0,5.73000001907349,1.23000001907349,0.159999996423721,8793,1.0,454.0,468.0
9,2016-04-21 00:00:00,6530,5.30000019073486,5.30000019073486,0.0,0.310000002384186,2.04999995231628,2.94000005722046,0.0,4,41,144,901,2729,2729,901,144,41,4,0.0,2.94000005722046,2.04999995231628,0.310000002384186,6530,1.0,425.0,434.0
10,2016-04-22 00:00:00,1664,1.35000002384186,1.35000002384186,0.0,0.0,0.0,1.35000002384186,0.0,0,0,72,1341,2241,2241,1341,72,0,0,0.0,1.35000002384186,0.0,0.0,1664,,,
11,2016-04-23 00:00:00,15126,12.2700004577637,12.2700004577637,0.0,0.759999990463257,3.24000000953674,8.27000045776367,0.0,9,66,408,469,3691,3691,469,408,66,9,0.0,8.27000045776367,3.24000000953674,0.759999990463257,15126,1.0,465.0,475.0
12,2016-04-24 00:00:00,15050,12.2200002670288,12.2200002670288,0.0,1.20000004768372,5.11999988555908,5.88000011444092,0.0,15,95,281,542,3538,3538,542,281,95,15,0.0,5.88000011444092,5.11999988555908,1.20000004768372,15050,1.0,480.0,506.0
