,date,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance_x,ModeratelyActiveDistance_x,LightActiveDistance_x,SedentaryActiveDistance_x,VeryActiveMinutes_x,FairlyActiveMinutes_x,LightlyActiveMinutes_x,SedentaryMinutes_x,Calories_x,Calories_y,SedentaryMinutes_y,LightlyActiveMinutes_y,FairlyActiveMinutes_y,VeryActiveMinutes_y,SedentaryActiveDistance_y,LightActiveDistance_y,ModeratelyActiveDistance_y,VeryActiveDistance_y,StepTotal,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
0,2016-04-12 00:00:00,7626,6.05000019073486,6.05000019073486,2.25308108329773,0.829999983310699,0.709999978542328,4.5,0.0,65,15,156,723,3635,3635,723,156,15,65,0.0,4.5,0.709999978542328,0.829999983310699,7626,1,338,356
1,2016-04-13 00:00:00,12386,9.81999969482422,9.81999969482422,2.0921471118927,4.96000003814697,0.649999976158142,4.21000003814697,0.0,116,14,169,680,4079,4079,680,169,14,116,0.0,4.21000003814697,0.649999976158142,4.96000003814697,12386,2,447,487
2,2016-04-14 00:00:00,13318,10.5600004196167,10.5600004196167,2.25308108329773,5.61999988555908,1.02999997138977,3.91000008583069,0.0,123,21,174,699,4163,4163,699,174,21,123,0.0,3.91000008583069,1.02999997138977,5.61999988555908,13318,1,424,455
3,2016-04-15 00:00:00,14461,11.4700002670288,11.4700002670288,0.0,4.90999984741211,1.14999997615814,5.40999984741211,0.0,60,23,190,729,3666,3666,729,190,23,60,0.0,5.40999984741211,1.14999997615814,4.90999984741211,14461,1,513,533
4,2016-04-16 00:00:00,11207,8.89000034332275,8.89000034332275,0.0,5.36999988555908,1.07000005245209,2.44000005722046,0.0,64,21,142,563,3363,3363,563,142,21,64,0.0,2.44000005722046,1.07000005245209,5.36999988555908,11207,2,611,689
5,2016-04-17 00:00:00,2132,1.69000005722046,1.69000005722046,0.0,0.0,0.0,1.69000005722046,0.0,0,0,93,599,2572,2572,599,93,0,0,0.0,1.69000005722046,0.0,0.0,2132,2,525,591
6,2016-04-18 00:00:00,13630,10.8100004196167,10.8100004196167,2.0921471118927,5.05000019073486,0.560000002384186,5.19999980926514,0.0,117,10,174,720,4157,4157,720,174,10,117,0.0,5.19999980926514,0.560000002384186,5.05000019073486,13630,1,398,451
7,2016-04-19 00:00:00,13070,10.3599996566772,10.3599996566772,2.25308108329773,5.30000019073486,0.879999995231628,4.17999982833862,0.0,120,19,154,737,4092,4092,737,154,19,120,0.0,4.17999982833862,0.879999995231628,5.30000019073486,13070,1,387,421
8,2016-04-20 00:00:00,9388,7.44000005722046,7.44000005722046,2.0921471118927,2.23000001907349,0.439999997615814,4.78000020980835,0.0,82,8,169,763,3787,3787,763,169,8,82,0.0,4.78000020980835,0.439999997615814,2.23000001907349,9388,1,381,409
9,2016-04-21 00:00:00,15148,12.0100002288818,12.0100002288818,2.25308108329773,6.90000009536743,0.819999992847443,4.28999996185303,0.0,137,16,145,677,4236,4236,677,145,16,137,0.0,4.28999996185303,0.819999992847443,6.90000009536743,15148,1,396,417
10,2016-04-22 00:00:00,12200,9.67000007629395,9.67000007629395,2.0921471118927,4.90999984741211,0.589999973773956,4.17999982833862,0.0,113,12,159,769,4044,4044,769,159,12,113,0.0,4.17999982833862,0.589999973773956,4.90999984741211,12200,1,441,469
11,2016-04-23 00:00:00,5709,4.53000020980835,4.53000020980835,0.0,1.51999998092651,0.519999980926514,2.48000001907349,0.0,19,10,136,740,2908,2908,740,136,10,19,0.0,2.48000001907349,0.519999980926514,1.51999998092651,5709,1,565,591
12,2016-04-24 00:00:00,3703,2.94000005722046,2.94000005722046,0.0,0.0,0.0,2.94000005722046,0.0,0,0,135,734,2741,2741,734,135,0,0,0.0,2.94000005722046,0.0,0.0,3703,1,458,492
13,2016-04-25 00:00:00,12405,9.84000015258789,9.84000015258789,2.0921471118927,5.05000019073486,0.870000004768372,3.92000007629395,0.0,117,16,141,692,4005,4005,692,141,16,117,0.0,3.92000007629395,0.870000004768372,5.05000019073486,12405,1,388,402
14,2016-04-25 00:00:00,12405,9.84000015258789,9.84000015258789,2.0921471118927,5.05000019073486,0.870000004768372,3.92000007629395,0.0,117,16,141,692,4005,4005,692,141,16,117,0.0,3.92000007629395,0.870000004768372,5.05000019073486,12405,1,388,402
15,2016-04-26 00:00:00,16208,12.8500003814697,12.8500003814697,0.0,7.51000022888184,0.920000016689301,4.42000007629395,0.0,90,18,161,593,3763,3763,593,161,18,90,0.0,4.42000007629395,0.920000016689301,7.51000022888184,16208,1,550,584
16,2016-04-27 00:00:00,7359,5.84000015258789,5.84000015258789,0.0,0.330000013113022,0.180000007152557,5.32999992370605,0.0,4,4,192,676,3061,3061,676,192,4,4,0.0,5.32999992370605,0.180000007152557,0.330000013113022,7359,1,531,600
17,2016-04-28 00:00:00,5417,4.30000019073486,4.30000019073486,0.0,0.899999976158142,0.490000009536743,2.91000008583069,0.0,11,10,139,711,2884,2884,711,139,10,11,0.0,2.91000008583069,0.490000009536743,0.899999976158142,5417,1,506,556
18,2016-04-29 00:00:00,6175,4.90000009536743,4.90000009536743,0.0,0.25,0.360000014305115,4.26999998092651,0.0,3,7,172,767,2982,2982,767,172,7,3,0.0,4.26999998092651,0.360000014305115,0.25,6175,1,527,562
19,2016-04-30 00:00:00,2946,2.33999991416931,2.33999991416931,0.0,0.0,0.0,2.33999991416931,0.0,0,0,121,780,2660,2660,780,121,0,0,0.0,2.33999991416931,0.0,0.0,2946,1,468,555
20,2016-05-01 00:00:00,11419,9.0600004196167,9.0600004196167,0.0,6.03000020980835,0.560000002384186,2.47000002861023,0.0,71,10,127,669,3369,3369,669,127,10,71,0.0,2.47000002861023,0.560000002384186,6.03000020980835,11419,1,475,539
21,2016-05-02 00:00:00,6064,4.80999994277954,4.80999994277954,2.0921471118927,0.629999995231628,0.170000001788139,4.01000022888184,0.0,63,4,142,802,3491,3491,802,142,4,63,0.0,4.01000022888184,0.170000001788139,0.629999995231628,6064,1,351,385
22,2016-05-03 00:00:00,8712,6.90999984741211,6.90999984741211,2.25308108329773,1.3400000333786,1.05999994277954,4.5,0.0,71,20,195,822,3784,3784,822,195,20,71,0.0,4.5,1.05999994277954,1.3400000333786,8712,1,405,429
23,2016-05-04 00:00:00,7875,6.23999977111816,6.23999977111816,0.0,1.55999994277954,0.490000009536743,4.19999980926514,0.0,19,10,167,680,3110,3110,680,167,10,19,0.0,4.19999980926514,0.490000009536743,1.55999994277954,7875,1,441,477
24,2016-05-05 00:00:00,8567,6.78999996185303,6.78999996185303,2.25308108329773,0.889999985694885,0.159999996423721,5.73999977111816,0.0,66,3,214,764,3783,3783,764,214,3,66,0.0,5.73999977111816,0.159999996423721,0.889999985694885,8567,1,381,417
25,2016-05-06 00:00:00,7045,5.59000015258789,5.59000015258789,2.0921471118927,1.54999995231628,0.25,3.77999997138977,0.0,74,5,166,831,3644,3644,831,166,5,74,0.0,3.77999997138977,0.25,1.54999995231628,7045,1,323,355
26,2016-05-07 00:00:00,4468,3.53999996185303,3.53999996185303,0.0,0.0,0.0,3.53999996185303,0.0,0,0,158,851,2799,2799,851,158,0,0,0.0,3.53999996185303,0.0,0.0,4468,2,459,513
27,2016-05-08 00:00:00,2943,2.32999992370605,2.32999992370605,0.0,0.0,0.0,2.32999992370605,0.0,0,0,139,621,2685,2685,621,139,0,0,0.0,2.32999992370605,0.0,0.0,2943,1,545,606
28,2016-05-09 00:00:00,8382,6.65000009536743,6.65000009536743,2.0921471118927,1.26999998092651,0.660000026226044,4.71999979019165,0.0,71,13,171,772,3721,3721,772,171,13,71,0.0,4.71999979019165,0.660000026226044,1.26999998092651,8382,1,359,399
29,2016-05-10 00:00:00,6582,5.21999979019165,5.21999979019165,2.25308108329773,0.660000026226044,0.639999985694885,3.92000007629395,0.0,63,13,152,840,3586,3586,840,152,13,63,0.0,3.92000007629395,0.639999985694885,0.660000026226044,6582,1,342,391
30,2016-05-11 00:00:00,9143,7.25,7.25,2.0921471118927,1.38999998569489,0.589999973773956,5.26999998092651,0.0,72,10,184,763,3788,3788,763,184,10,72,0.0,5.26999998092651,0.589999973773956,1.38999998569489,9143,1,368,387
31,2016-05-12 00:00:00,4561,3.61999988555908,3.61999988555908,0.0,0.649999976158142,0.270000010728836,2.69000005722046,0.0,8,6,102,433,1976,1976,433,102,6,8,0.0,2.69000005722046,0.270000010728836,0.649999976158142,4561,1,496,546
